id,counts
0,7396:1
1,17:1
2,3734:1
3,23812:1
4,7396:1
5,"4:1,12:1"
6,13911:1
7,4066:1
8,7396:1
9,14585:1
10,15:1
11,14438:1
12,7396:1
13,23053:1
14,17:1
15,7396:1
16,23784:1
